timestamp,event_type,source_ip,destination_ip,destination_port,protocol,packet_size,connection_type,response_time_ms,status_code,geo_location,zone_id,device_id,is_attack,attack_type,severity
2026-03-04T11:00:00.000Z,http_request,45.142.212.100,172.16.2.10,443,HTTPS,1500,ACK,450,503,China,zone-bkc,SL-BKC-001,true,http_flood,critical
2026-03-04T11:00:00.010Z,http_request,45.142.212.100,172.16.2.10,443,HTTPS,1500,ACK,455,503,China,zone-bkc,SL-BKC-001,true,http_flood,critical
2026-03-04T11:00:00.020Z,http_request,45.142.212.100,172.16.2.10,443,HTTPS,1500,ACK,460,503,China,zone-bkc,SL-BKC-001,true,http_flood,critical
2026-03-04T11:00:00.030Z,http_request,45.142.212.100,172.16.2.10,443,HTTPS,1500,ACK,465,429,China,zone-bkc,SL-BKC-001,true,http_flood,critical
2026-03-04T11:00:00.040Z,http_request,45.142.212.100,172.16.2.11,443,HTTPS,1500,ACK,470,503,China,zone-bkc,SL-BKC-002,true,http_flood,critical
2026-03-04T11:00:00.050Z,http_request,45.142.212.101,172.16.2.10,443,HTTPS,1500,ACK,475,503,China,zone-bkc,SL-BKC-001,true,http_flood,critical
2026-03-04T11:00:00.060Z,http_request,45.142.212.101,172.16.2.10,443,HTTPS,1500,ACK,480,429,China,zone-bkc,SL-BKC-001,true,http_flood,critical
2026-03-04T11:00:00.070Z,http_request,45.142.212.101,172.16.2.11,443,HTTPS,1500,ACK,485,503,China,zone-bkc,SL-BKC-002,true,http_flood,critical
2026-03-04T11:00:00.080Z,http_request,45.142.212.102,172.16.2.10,443,HTTPS,1500,ACK,490,503,China,zone-bkc,SL-BKC-001,true,http_flood,critical
2026-03-04T11:00:00.090Z,http_request,45.142.212.102,172.16.2.12,443,HTTPS,1500,ACK,495,429,China,zone-bkc,SL-BKC-003,true,http_flood,critical
2026-03-04T11:00:00.100Z,http_request,45.142.212.103,172.16.2.10,443,HTTPS,1500,ACK,500,503,China,zone-bkc,SL-BKC-001,true,http_flood,critical
2026-03-04T11:00:00.110Z,http_request,45.142.212.103,172.16.2.11,443,HTTPS,1500,ACK,505,503,China,zone-bkc,SL-BKC-002,true,http_flood,critical
2026-03-04T11:00:00.120Z,http_request,45.142.212.104,172.16.2.10,443,HTTPS,1500,ACK,510,429,China,zone-bkc,SL-BKC-001,true,http_flood,critical
2026-03-04T11:00:00.130Z,http_request,45.142.212.104,172.16.2.13,443,HTTPS,1500,ACK,515,503,China,zone-bkc,SL-BKC-004,true,http_flood,critical
2026-03-04T11:00:00.140Z,http_request,45.142.212.105,172.16.2.10,443,HTTPS,1500,ACK,520,503,China,zone-bkc,SL-BKC-001,true,http_flood,critical
2026-03-04T11:00:00.150Z,http_request,45.142.212.105,172.16.2.11,443,HTTPS,1500,ACK,525,429,China,zone-bkc,SL-BKC-002,true,http_flood,critical
2026-03-04T11:00:00.160Z,http_request,45.142.212.106,172.16.2.10,443,HTTPS,1500,ACK,530,503,China,zone-bkc,SL-BKC-001,true,http_flood,critical
2026-03-04T11:00:00.170Z,http_request,45.142.212.106,172.16.2.14,443,HTTPS,1500,ACK,535,503,China,zone-bkc,SL-BKC-005,true,http_flood,critical
2026-03-04T11:00:00.180Z,http_request,45.142.212.107,172.16.2.10,443,HTTPS,1500,ACK,540,429,China,zone-bkc,SL-BKC-001,true,http_flood,critical
2026-03-04T11:00:00.190Z,http_request,45.142.212.107,172.16.2.11,443,HTTPS,1500,ACK,545,503,China,zone-bkc,SL-BKC-002,true,http_flood,critical
2026-03-04T11:00:00.200Z,http_request,103.21.244.15,172.16.1.10,443,HTTPS,1420,ACK,95,200,India,zone-nariman,SL-NARIMAN-001,false,none,none
2026-03-04T11:00:00.210Z,http_request,45.142.212.108,172.16.2.10,443,HTTPS,1500,ACK,550,503,China,zone-bkc,SL-BKC-001,true,http_flood,critical
2026-03-04T11:00:00.220Z,http_request,45.142.212.108,172.16.2.15,443,HTTPS,1500,ACK,555,503,China,zone-bkc,SL-BKC-006,true,http_flood,critical
2026-03-04T11:00:00.230Z,http_request,45.142.212.109,172.16.2.10,443,HTTPS,1500,ACK,560,429,China,zone-bkc,SL-BKC-001,true,http_flood,critical
2026-03-04T11:00:00.240Z,http_request,45.142.212.109,172.16.2.11,443,HTTPS,1500,ACK,565,503,China,zone-bkc,SL-BKC-002,true,http_flood,critical
2026-03-04T11:00:00.250Z,http_request,45.142.212.110,172.16.2.10,443,HTTPS,1500,ACK,570,503,China,zone-bkc,SL-BKC-001,true,http_flood,critical
2026-03-04T11:00:00.260Z,http_request,45.142.212.110,172.16.2.16,443,HTTPS,1500,ACK,575,429,China,zone-bkc,SL-BKC-007,true,http_flood,critical
2026-03-04T11:00:00.270Z,http_request,45.142.212.111,172.16.2.10,443,HTTPS,1500,ACK,580,503,China,zone-bkc,SL-BKC-001,true,http_flood,critical
2026-03-04T11:00:00.280Z,http_request,45.142.212.111,172.16.2.11,443,HTTPS,1500,ACK,585,503,China,zone-bkc,SL-BKC-002,true,http_flood,critical
2026-03-04T11:00:00.290Z,http_request,45.142.212.112,172.16.2.10,443,HTTPS,1500,ACK,590,429,China,zone-bkc,SL-BKC-001,true,http_flood,critical
2026-03-04T11:00:00.300Z,http_request,45.142.212.112,172.16.2.17,443,HTTPS,1500,ACK,595,503,China,zone-bkc,SL-BKC-008,true,http_flood,critical
2026-03-04T11:00:00.400Z,http_request,103.21.244.16,172.16.3.10,443,HTTPS,1430,ACK,102,200,India,zone-airport,SL-AIRPORT-001,false,none,none
2026-03-04T11:00:00.500Z,http_request,45.142.213.100,172.16.2.10,80,HTTP,1500,ACK,600,503,China,zone-bkc,SL-BKC-001,true,http_flood,critical
2026-03-04T11:00:00.510Z,http_request,45.142.213.100,172.16.2.10,80,HTTP,1500,ACK,605,429,China,zone-bkc,SL-BKC-001,true,http_flood,critical
2026-03-04T11:00:00.520Z,http_request,45.142.213.101,172.16.2.11,80,HTTP,1500,ACK,610,503,China,zone-bkc,SL-BKC-002,true,http_flood,critical
2026-03-04T11:00:00.530Z,http_request,45.142.213.101,172.16.2.10,80,HTTP,1500,ACK,615,503,China,zone-bkc,SL-BKC-001,true,http_flood,critical
2026-03-04T11:00:00.540Z,http_request,45.142.213.102,172.16.2.10,80,HTTP,1500,ACK,620,429,China,zone-bkc,SL-BKC-001,true,http_flood,critical
2026-03-04T11:00:00.550Z,http_request,45.142.213.102,172.16.2.18,80,HTTP,1500,ACK,625,503,China,zone-bkc,SL-BKC-009,true,http_flood,critical
2026-03-04T11:00:00.560Z,http_request,45.142.213.103,172.16.2.10,80,HTTP,1500,ACK,630,503,China,zone-bkc,SL-BKC-001,true,http_flood,critical
2026-03-04T11:00:00.570Z,http_request,45.142.213.103,172.16.2.11,80,HTTP,1500,ACK,635,429,China,zone-bkc,SL-BKC-002,true,http_flood,critical
2026-03-04T11:00:00.580Z,http_request,45.142.213.104,172.16.2.10,80,HTTP,1500,ACK,640,503,China,zone-bkc,SL-BKC-001,true,http_flood,critical
2026-03-04T11:00:00.590Z,http_request,45.142.213.104,172.16.2.19,80,HTTP,1500,ACK,645,503,China,zone-bkc,SL-BKC-010,true,http_flood,critical
2026-03-04T11:00:00.600Z,http_request,103.21.244.17,172.16.5.10,443,HTTPS,1410,ACK,88,200,India,zone-powai,SL-POWAI-001,false,none,none
2026-03-04T11:00:01.000Z,http_request,185.220.100.50,172.16.2.10,443,HTTPS,1500,ACK,650,429,Russia,zone-bkc,SL-BKC-001,true,http_flood,high
2026-03-04T11:00:01.010Z,http_request,185.220.100.51,172.16.2.11,443,HTTPS,1500,ACK,655,503,Russia,zone-bkc,SL-BKC-002,true,http_flood,high
2026-03-04T11:00:01.020Z,http_request,185.220.100.52,172.16.2.10,443,HTTPS,1500,ACK,660,503,Russia,zone-bkc,SL-BKC-001,true,http_flood,high
2026-03-04T11:00:01.030Z,http_request,185.220.100.53,172.16.2.20,443,HTTPS,1500,ACK,665,429,Russia,zone-bkc,SL-BKC-011,true,http_flood,high
2026-03-04T11:00:01.040Z,http_request,185.220.100.54,172.16.2.10,443,HTTPS,1500,ACK,670,503,Russia,zone-bkc,SL-BKC-001,true,http_flood,high
2026-03-04T11:00:01.050Z,http_request,185.220.100.55,172.16.2.11,443,HTTPS,1500,ACK,675,503,Russia,zone-bkc,SL-BKC-002,true,http_flood,high
2026-03-04T11:00:01.200Z,http_request,103.21.244.18,172.16.1.11,443,HTTPS,1425,ACK,92,200,India,zone-nariman,SL-NARIMAN-002,false,none,none
2026-03-04T11:00:02.000Z,http_request,45.142.212.100,172.16.2.10,443,HTTPS,1500,ACK,680,503,China,zone-bkc,SL-BKC-001,true,http_flood,critical
2026-03-04T11:00:02.010Z,http_request,45.142.212.100,172.16.2.10,443,HTTPS,1500,ACK,685,429,China,zone-bkc,SL-BKC-001,true,http_flood,critical
2026-03-04T11:00:02.020Z,http_request,45.142.212.100,172.16.2.11,443,HTTPS,1500,ACK,690,503,China,zone-bkc,SL-BKC-002,true,http_flood,critical
2026-03-04T11:00:02.030Z,http_request,45.142.212.100,172.16.2.10,443,HTTPS,1500,ACK,695,503,China,zone-bkc,SL-BKC-001,true,http_flood,critical
2026-03-04T11:00:02.040Z,http_request,45.142.212.100,172.16.2.21,443,HTTPS,1500,ACK,700,429,China,zone-bkc,SL-BKC-012,true,http_flood,critical
2026-03-04T11:00:02.400Z,http_request,103.21.244.19,172.16.4.10,443,HTTPS,1440,ACK,87,200,India,zone-andheri,SL-ANDHERI-001,false,none,none
